section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010300067,00,България,01,Благоевград,03,Благоевград,,,067,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",598,1,0,0,0
010300068,00,България,01,Благоевград,03,Благоевград,,,068,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",554,1,0,0,0
010300069,00,България,01,Благоевград,03,Благоевград,,,069,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",623,1,0,0,0
010300070,00,България,01,Благоевград,03,Благоевград,,,070,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",660,1,0,0,0
010300071,00,България,01,Благоевград,03,Благоевград,,,071,4279,гр. Благоевград,"IX основно училище""Пейо Яворов"", ж.к. ""Ален Мак""",637,1,0,0,0
010300072,00,България,01,Благоевград,03,Благоевград,,,072,4279,гр. Благоевград,"IX основно училище""Пейо Яворов"", ж.к. ""Ален Мак""",563,1,0,0,0
010300073,00,България,01,Благоевград,03,Благоевград,,,073,4279,гр. Благоевград,"IX основно училище""Пейо Яворов"", ж.к. ""Ален Мак""",580,1,0,0,0
010300074,00,България,01,Благоевград,03,Благоевград,,,074,4279,гр. Благоевград,"IX основно училище""Пейо Яворов"", ж.к. ""Ален Мак""",570,1,0,0,0
010300075,00,България,01,Благоевград,03,Благоевград,,,075,4279,гр. Благоевград,"IX основно училище""Пейо Яворов"", ж.к. ""Ален Мак""",612,1,0,0,0
010300076,00,България,01,Благоевград,03,Благоевград,,,076,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",433,1,0,0,0
010300077,00,България,01,Благоевград,03,Благоевград,,,077,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",632,1,0,0,0
010300078,00,България,01,Благоевград,03,Благоевград,,,078,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",554,1,0,0,0
010300079,00,България,01,Благоевград,03,Благоевград,,,079,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",563,1,0,0,0
010300080,00,България,01,Благоевград,03,Благоевград,,,080,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",514,1,0,0,0
010300081,00,България,01,Благоевград,03,Благоевград,,,081,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",484,1,0,0,0
010300082,00,България,01,Благоевград,03,Благоевград,,,082,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",623,1,0,0,0
010300083,00,България,01,Благоевград,03,Благоевград,,,083,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",613,1,0,0,0
010300084,00,България,01,Благоевград,03,Благоевград,,,084,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",649,1,0,0,0
010300085,00,България,01,Благоевград,03,Благоевград,,,085,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",523,1,0,0,0
010300086,00,България,01,Благоевград,03,Благоевград,,,086,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",547,1,0,0,0
010300087,00,България,01,Благоевград,03,Благоевград,,,087,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",548,1,0,0,0
010300088,00,България,01,Благоевград,03,Благоевград,,,088,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",634,1,0,0,0
010300089,00,България,01,Благоевград,03,Благоевград,,,089,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",584,1,0,0,0
010300090,00,България,01,Благоевград,03,Благоевград,,,090,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",561,1,0,0,0
010300091,00,България,01,Благоевград,03,Благоевград,,,091,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",504,1,0,0,0
